county,measure_date,hosp
8003,7/19/20,2
8003,7/20/20,3
8003,7/21/20,2
8003,7/22/20,4
8003,7/23/20,5
8003,7/24/20,5
8003,7/25/20,4
8003,7/26/20,4
8003,7/27/20,3
8003,7/28/20,3
8003,7/29/20,3
8003,7/30/20,3
8003,7/31/20,3
8003,8/1/20,3
8003,8/2/20,2
8003,8/3/20,2
8003,8/4/20,2
8003,8/5/20,0
8003,8/6/20,0
8003,8/7/20,0
8003,8/8/20,0
8003,8/9/20,0
8003,8/10/20,0
8003,8/11/20,0
8003,8/12/20,0
8003,8/13/20,0
8003,8/14/20,0
8003,8/15/20,1
8003,8/16/20,1
8003,8/17/20,0
8003,8/18/20,0
8003,8/19/20,0
8003,8/20/20,0
8003,8/21/20,0
8003,8/22/20,0
8003,8/23/20,0
8003,8/24/20,0
8003,8/25/20,0
8003,8/26/20,0
8003,8/27/20,0
8003,8/28/20,0
8003,8/29/20,0
8003,8/30/20,0
8003,8/31/20,0
8003,9/1/20,0
8003,9/2/20,0
8003,9/3/20,0
8003,9/4/20,0
8003,9/5/20,0
8003,9/6/20,1
8003,9/7/20,1
8003,9/8/20,0
8003,9/9/20,0
8003,9/10/20,0
8003,9/11/20,0
8003,9/12/20,0
8003,9/13/20,0
8003,9/14/20,0
8003,9/15/20,0
8003,9/16/20,0
8003,9/17/20,0
8003,9/18/20,0
8003,9/19/20,0
8003,9/20/20,0
8003,9/21/20,0
8003,9/22/20,0
8003,9/23/20,1
8003,9/24/20,1
8003,9/25/20,0
8003,9/26/20,0
8003,9/27/20,0
8003,9/28/20,0
8003,9/29/20,0
8003,9/30/20,0
8003,10/1/20,0
8003,10/2/20,0
8003,10/3/20,0
8003,10/4/20,1
8003,10/5/20,1
8003,10/6/20,1
8003,10/7/20,1
8003,10/8/20,1
8003,10/9/20,2
8003,10/10/20,2
8003,10/11/20,3
8003,10/12/20,4
8003,10/13/20,3
8003,10/14/20,3
8003,10/15/20,4
8003,10/16/20,2
8003,10/17/20,2
8003,10/18/20,2
8003,10/19/20,4
8003,10/20/20,1
8003,10/21/20,2
8003,10/22/20,1
8003,10/23/20,2
8003,10/24/20,1
8003,10/25/20,1
8003,10/26/20,1
8003,10/27/20,1
8003,10/28/20,3
8003,10/29/20,3
8003,10/30/20,3
8003,10/31/20,2
8003,11/1/20,2
8003,11/2/20,2
8003,11/3/20,3
8003,11/4/20,4
8003,11/5/20,3
8003,11/6/20,5
8003,11/7/20,5
8003,11/8/20,5
8003,11/9/20,3
8003,11/10/20,2
8003,11/11/20,5
8003,11/12/20,5
8003,11/13/20,3
8003,11/14/20,4
8003,11/15/20,3
8003,11/16/20,3
8003,11/17/20,7
8003,11/18/20,7
8003,11/19/20,8
8003,11/20/20,10
8003,11/21/20,9
8003,11/22/20,9
8003,11/23/20,9
8003,11/24/20,10
8003,11/25/20,9
8003,11/26/20,7
8003,11/27/20,9
8003,11/28/20,13
8003,11/29/20,11
8003,11/30/20,11
8003,12/1/20,8
8003,12/2/20,11
8003,12/3/20,10
8003,12/4/20,9
8003,12/5/20,9
8003,12/6/20,9
8003,12/7/20,10
8003,12/8/20,8
8003,12/9/20,5
8003,12/10/20,7
8003,12/11/20,7
8003,12/12/20,7
8003,12/13/20,3
8003,12/14/20,6
8003,12/15/20,9
8003,12/16/20,13
8003,12/17/20,11
8003,12/18/20,11
8003,12/19/20,7
8003,12/20/20,7
8003,12/21/20,9
8003,12/22/20,10
8003,12/23/20,10
8003,12/24/20,6
8003,12/25/20,5
8003,12/26/20,5
8003,12/27/20,5
8003,12/28/20,7
8003,12/29/20,7
8003,12/30/20,7
8003,12/31/20,8
8003,1/1/21,6
8003,1/2/21,8
8003,1/3/21,8
8003,1/4/21,11
8003,1/5/21,9
8003,1/6/21,8
8003,1/7/21,6
8003,1/8/21,6
8003,1/9/21,7
8003,1/10/21,7
8003,1/11/21,8
8003,1/12/21,9
8003,1/13/21,8
8003,1/14/21,6
8003,1/15/21,6
8003,1/16/21,6
8003,1/17/21,6
8003,1/18/21,6
8003,1/19/21,7
8003,1/20/21,6
8003,1/21/21,6
8003,1/22/21,4
8003,1/23/21,4
8003,1/24/21,6
8003,1/25/21,6
8003,1/26/21,6
8003,1/27/21,7
8003,1/28/21,7
8003,1/29/21,7
8003,1/30/21,5
8003,1/31/21,5
8003,2/1/21,4
8003,2/2/21,5
8003,2/3/21,5
8003,2/4/21,5
8003,2/5/21,5
8003,2/6/21,5
8003,2/7/21,5
8003,2/8/21,5
8003,2/9/21,4
8003,2/10/21,4
8003,2/11/21,5
8003,2/12/21,7
8003,2/13/21,7
8003,2/14/21,5
8003,2/15/21,5
8003,2/16/21,4
8003,2/17/21,4
8003,2/18/21,3
8003,2/19/21,3
8003,2/20/21,4
8003,2/21/21,3
8003,2/22/21,3
8003,2/23/21,4
8003,2/24/21,4
8003,2/25/21,4
8003,2/26/21,3
8003,2/27/21,4
8003,2/28/21,5
8003,3/1/21,5
8003,3/2/21,6
8003,3/3/21,4
8003,3/4/21,4
8003,3/5/21,4
8003,3/6/21,5
8003,3/7/21,3
8003,3/8/21,3
8003,3/9/21,2
8003,3/10/21,2
8003,3/11/21,2
8003,3/12/21,2
8003,3/13/21,5
8003,3/14/21,5
8003,3/15/21,4
8003,3/16/21,3
8003,3/17/21,4
8003,3/18/21,3
8003,3/19/21,3
8003,3/20/21,3
8003,3/21/21,2
8003,3/22/21,1
8003,3/23/21,1
8003,3/24/21,1
8003,3/25/21,1
8003,3/26/21,1
8003,3/27/21,0
8003,3/28/21,0
8003,3/29/21,0
8003,3/30/21,0
8003,3/31/21,0
8003,4/1/21,0
8003,4/2/21,0
8003,4/3/21,0
8003,4/4/21,0
8003,4/5/21,0
8003,4/6/21,0
8003,4/7/21,0
8003,4/8/21,0
8003,4/9/21,3
8003,4/10/21,2
8003,4/11/21,0
8003,4/12/21,0
8003,4/13/21,0
8003,4/14/21,2
8003,4/15/21,2
8003,4/16/21,1
8003,4/17/21,2
8003,4/18/21,1
8003,4/19/21,1
8003,4/20/21,1
8003,4/21/21,3
8003,4/22/21,2
8003,4/23/21,1
8003,4/24/21,1
8003,4/25/21,2
8003,4/26/21,3
8003,4/27/21,3
8003,4/28/21,3
8003,4/29/21,3
8003,4/30/21,3
8003,5/1/21,3
8003,5/2/21,5
8003,5/3/21,7
8003,5/4/21,5
8003,5/5/21,5
8003,5/6/21,7
8003,5/7/21,7
8003,5/8/21,6
8003,5/9/21,6
8003,5/10/21,6
8003,5/11/21,5
8003,5/12/21,4
8003,5/13/21,7
8003,5/14/21,8
8003,5/15/21,8
8003,5/16/21,8
8003,5/17/21,6
8003,5/18/21,8
8003,5/19/21,8
8003,5/20/21,6
8003,5/21/21,8
8003,5/22/21,8
8003,5/23/21,8
8003,5/24/21,8
8003,5/25/21,8
8003,5/26/21,9
8003,5/27/21,7
8003,5/28/21,6
8003,5/29/21,6
8003,5/30/21,5
8003,5/31/21,5
8003,6/1/21,6
8003,6/2/21,6
8003,6/3/21,6
8003,6/4/21,5
8003,6/5/21,5
8003,6/6/21,5
8003,6/7/21,4
8003,6/8/21,6
8003,6/9/21,5
8003,6/10/21,3
8003,6/11/21,4
8003,6/12/21,5
8003,6/13/21,5
8003,6/14/21,5
8003,6/15/21,4
8003,6/16/21,4
8003,6/17/21,2
8003,6/18/21,2
8003,6/19/21,3
8003,6/20/21,3
8003,6/21/21,3
8003,6/22/21,3
8003,6/23/21,3
8003,6/24/21,2
8003,6/25/21,2
8003,6/26/21,3
8003,6/27/21,3
8003,6/28/21,3
8003,6/29/21,3
8003,6/30/21,2
8003,7/1/21,2
8003,7/2/21,2
8003,7/3/21,2
8003,7/4/21,2
8003,7/5/21,2
8003,7/6/21,3
8003,7/7/21,3
8003,7/8/21,1
8003,7/9/21,1
8003,7/10/21,1
8003,7/11/21,1
8003,7/12/21,1
8003,7/13/21,1
8003,7/14/21,1
8003,7/15/21,1
8003,7/16/21,1
8003,7/17/21,1
8003,7/18/21,1
8003,7/19/21,0
8003,7/20/21,0
8003,7/21/21,0
8003,7/22/21,1
8003,7/23/21,1
8003,7/24/21,1
8003,7/25/21,4
8003,7/26/21,1
8003,7/27/21,1
8003,7/28/21,2
8003,7/29/21,2
8003,7/30/21,1
8003,7/31/21,2
8003,8/1/21,1
8003,8/2/21,1
8003,8/3/21,2
8003,8/4/21,3
8003,8/5/21,3
8003,8/6/21,3
8003,8/7/21,4
8003,8/8/21,3
8003,8/9/21,3
8003,8/10/21,1
8003,8/11/21,1
8003,8/12/21,0
8003,8/13/21,1
8003,8/14/21,0
8003,8/15/21,1
8003,8/16/21,1
8003,8/17/21,1
8003,8/18/21,1
8003,8/19/21,3
8003,8/20/21,3
8003,8/21/21,3
8003,8/22/21,3
8003,8/23/21,4
8003,8/24/21,4
8003,8/25/21,4
8003,8/26/21,4
8003,8/27/21,3
8003,8/28/21,3
8003,8/29/21,5
8003,8/30/21,5
8003,8/31/21,3
8003,9/1/21,3
8003,9/2/21,2
8003,9/3/21,3
8003,9/4/21,4
8003,9/5/21,4
8003,9/6/21,5
8003,9/7/21,6
8003,9/8/21,6
8003,9/9/21,5
8003,9/10/21,5
8003,9/11/21,4
8003,9/12/21,4
8003,9/13/21,3
8003,9/14/21,3
8003,9/15/21,4
8003,9/16/21,5
8003,9/17/21,5
8003,9/18/21,3
8003,9/19/21,3
8003,9/20/21,3
8003,9/21/21,5
8003,9/22/21,5
8003,9/23/21,5
8003,9/24/21,5
8003,9/25/21,5
8003,9/26/21,5
8003,9/27/21,4
8003,9/28/21,6
8003,9/29/21,6
8003,9/30/21,6
8003,10/1/21,6
8003,10/2/21,5
8003,10/3/21,5
8003,10/4/21,6
8003,10/5/21,6
8003,10/6/21,6
8003,10/7/21,6
8003,10/8/21,5
8003,10/9/21,6
8003,10/10/21,5
8003,10/11/21,5
8003,10/12/21,6
8003,10/13/21,6
8003,10/14/21,4
8003,10/15/21,6
8003,10/16/21,7
8003,10/17/21,7
8003,10/18/21,7
8003,10/19/21,7
8003,10/20/21,5
8003,10/21/21,5
8003,10/22/21,5
8003,10/23/21,6
8003,10/24/21,6
8003,10/25/21,7
8003,10/26/21,5
8003,10/27/21,5
8003,10/28/21,5
8003,10/29/21,4
8003,10/30/21,4
8003,10/31/21,5
8003,11/1/21,5
8003,11/2/21,6
8003,11/3/21,6
8003,11/4/21,6
8003,11/5/21,7
8003,11/6/21,7
8003,11/7/21,7
8003,11/8/21,7
8003,11/9/21,6
8003,11/10/21,6
8003,11/11/21,5
8003,11/12/21,5
8003,11/13/21,7
8003,11/14/21,6
8003,11/15/21,5
8003,11/16/21,5
8003,11/17/21,5
8003,11/18/21,6
8003,11/19/21,7
8003,11/20/21,6
8003,11/21/21,6
8003,11/22/21,6
8003,11/23/21,6
8003,11/24/21,4
8003,11/25/21,4
8003,11/26/21,6
8003,11/27/21,6
8003,11/28/21,8
8003,11/29/21,6
8003,11/30/21,6
8003,12/1/21,7
8003,12/2/21,7
8003,12/3/21,8
